DATE,ID,LEVEL,SECTION,Column_D,LOCATION,DIRECTION,SAMPLE_TYPE,PEG_ID,AU_avg,AU_count,Sample_count
2025-08-14,5L_W12_C_CON-DRV_South,5L,W12,C,CON-DRV,South,FLCH,W12_OP,3.1014,7,7
2025-08-14,5L_W12_C_SBL2_North,5L,W12,C,SBL2,North,SLGE,W12_OP,0.1033,6,6
2025-08-14,5L_W8_C_CON-DRV_East,5L,W8,C,CON-DRV,East,FLCH,W8C_OP,3.4025,4,4
2025-08-14,5L_W8_C_CON-DRV_West,5L,W8,C,CON-DRV,West,FLCH,W8C_OP,1.395,6,6
2025-08-14,6L_E1_B_SBL1_East,6L,E1,B,SBL1,East,FLCH,E1B_OP,4.8033,3,3
2025-08-14,6L_W13_C_SBL1_East,6L,W13,C,SBL1,East,FLCH,W13C_OP,17.96,3,3
2025-08-14,6L_W14_A_SBL1_West,6L,W14,A,SBL1,West,GRABS,W14A_OP,0.4033,3,3
2025-08-14,6L_W18_B_CON-DRV_West,6L,W18,B,CON-DRV,West,SLGE,W18B_OP,2.4683,6,6
2025-08-14,6L_W2_A_SBL2_West,6L,W2,A,SBL2,West,FLCH,W2_OP,3.7086,7,7
2025-08-14,6L_W4_A_SBL2_East,6L,W4,A,SBL2,East,SLGE,W4_OP,1.5275,4,4
2025-08-14,6L_W5_A_SBL2_West,6L,W5,A,SBL2,West,FLCH,W5_OP,6.6875,4,4
2025-08-14,6L_W8_C_SBL2_East,6L,W8,C,SBL2,East,FLCH,W8C_OP,2.3625,4,4
2025-08-15,2L_W23_SBL1_East,2L,W23,,SBL1,East,FLCH,W23_OP,3.0925,4,4
2025-08-15,3L_W23_SBL2_East,3L,W23,,SBL2,East,SLGE,,1.102,5,5
2025-08-15,3L_W25_SBL1_East,3L,W25,,SBL1,East,SLGE,W25_OP,0.0533,6,6
2025-08-15,5L_W12_C_CON-DRV_South,5L,W12,C,CON-DRV,South,SLGE,W12_OP,0.553,10,10
2025-08-15,5L_W8_C_CON-DRV_East,5L,W8,C,CON-DRV,East,FLCH,W8C_OP,5.675,4,4
2025-08-15,5L_W8_C_CON-DRV_West,5L,W8,C,CON-DRV,West,FLCH,W8C_OP,4.926,5,5
2025-08-15,6L_E1_B_SBL1_East,6L,E1,B,SBL1,East,FLCH,E1B_OP,5.93,2,3
2025-08-15,6L_W13_C_SBL2_East,6L,W13,C,SBL2,East,FLCH,W13C_OP,8.2733,3,3
2025-08-15,6L_W14_A_SBL2_West,6L,W14,A,SBL2,West,FLCH,W14A_OP,11.1433,3,3
2025-08-15,6L_W18_B_CON-DRV_West,6L,W18,B,CON-DRV,West,SLGE,W18B_OP,0.3,4,4
2025-08-15,6L_W2_A_SBL2_West,6L,W2,A,SBL2,West,FLCH,W2A_OP,4.7993,7,7
2025-08-15,6L_W4_A_SBL2_East,6L,W4,A,SBL2,East,FLCH,W4_OP,2.0283,6,6
2025-08-15,6L_W5_SBL2_West,6L,W5,,SBL2,West,FLCH,W5_OP,4.6,3,3
2025-08-15,6L_W8_C_SBL2_West,6L,W8,C,SBL2,West,SCH,W8C_OP,4.2214,7,7
2025-08-16,2L_W23_SBL1_East,2L,W23,,SBL1,East,FLCH,W23_OP,9.7575,4,4
2025-08-16,3L_W23_SBL1_South,3L,W23,,SBL1,South,SLGE,W23_OP,0.2017,6,6
2025-08-16,3L_W25_SBL1_East,3L,W25,,SBL1,East,SLGE,W25_OP,0.1362,6,6
2025-08-16,5L_W12_CON-DRV_South,5L,W12,,CON-DRV,South,SLGE,W12_OP,1.7438,10,10
2025-08-16,5L_W8_C_CON-DRV_East,5L,W8,C,CON-DRV,East,FLCH,W8C_OP,10.4267,3,3
2025-08-16,5L_W8_C_CON-DRV_West,5L,W8,C,CON-DRV,West,FLCH,W8C_OP,9.405,5,5
2025-08-16,6L_E1_SBL1_East,6L,E1,,SBL1,East,FLCH,E1B_OP,1.9725,4,4
2025-08-16,6L_W13_C_SBL2_East,6L,W13,C,SBL2,East,FLCH,W14A_OP,3.3233,3,3
2025-08-16,6L_W14_A_SBL2_West,6L,W14,A,SBL2,West,FLCH,P1111,3.36,3,3
2025-08-16,6L_W18_SBL1_East,6L,W18,,SBL1,East,SLGE,W18B_OP,4.135,2,2
2025-08-16,6L_W18_SBL1_West,6L,W18,,SBL1,West,SLGE,W18B_OP,1.43,2,2
2025-08-16,6L_W2_SBL2_West,6L,W2,,SBL2,West,FLCH,W2_OP,1.9886,7,7
2025-08-16,6L_W4_SBL2_East,6L,W4,,SBL2,East,FLCH,W4_OP,3.6667,6,6
2025-08-16,6L_W5_A_SBL1_West,6L,W5,A,SBL1,West,FLCH,W5_OP,12.8725,4,4
2025-08-16,6L_W8_A_SBL2_East,6L,W8,A,SBL2,East,FLCH,W8A_OP,2.912,5,5
2025-08-17,5L_W12_SBL2_North,5L,W12,,SBL2,North,SCH,W12_OP,0.2325,4,4
2025-08-18,2L_W23_SBL1_East,2L,W23,,SBL1,East,FLCH,W23_OP,9.5417,6,6
2025-08-18,3L_W23_HLGE_East,3L,W23,,HLGE,East,FLCH,P0396,8.0186,7,7
2025-08-18,3L_W23_SBL1_South,3L,W23,,SBL1,South,SLGE,W23_OP,2.3283,6,6
2025-08-18,3L_W25_HLGE_East,3L,W25,,HLGE,East,SCH,W25_OP,0.418,5,5
2025-08-18,5L_W12_C_CON-DRV_South,5L,W12,C,CON-DRV,South,SLGE,W12_OP,0.015,2,2
2025-08-18,5L_W12_C_CON-DRV_West,5L,W12,C,CON-DRV,West,SLGE,W12C_OP,0.1029,7,8
2025-08-18,5L_W13_HLGE_South,5L,W13,,HLGE,South,SLGE,W13_OP,0.9633,3,3
2025-08-18,5L_W13_SBL2_South,5L,W13,,SBL2,South,SLGE,W13_OP,1.5,1,1
2025-08-18,5L_W8_C_CON-DRV_East,5L,W8,C,CON-DRV,East,FLCH,W8C_OP,9.312,5,5
2025-08-18,5L_W8_C_CON-DRV_West,5L,W8,C,CON-DRV,West,FLCH,W8C_OP,4.368,5,5
2025-08-18,6L_E1_B_SBL1_East,6L,E1,B,SBL1,East,FLCH,E1B_OP,1.855,2,4
2025-08-18,6L_W13_C_SBL1_East,6L,W13,C,SBL1,East,FLCH,W13C_OP,3.66,3,3
2025-08-18,6L_W14_A_SBL1_West,6L,W14,A,SBL1,West,FLCH,W14A_OP,2.1633,3,3
2025-08-18,6L_W15_A_SBL1_West,6L,W15,A,SBL1,West,SLGE,W15A_OP,3.295,4,4
2025-08-18,6L_W18_B_CON-DRV_West,6L,W18,B,CON-DRV,West,SLGE,W18B_OP,4.9075,4,4
2025-08-18,6L_W2_A_SBL2_West,6L,W2,A,SBL2,West,FLCH,W5_OP,2.28,5,7
2025-08-18,6L_W5_A_SBL2_West,6L,W5,A,SBL2,West,FLCH,W5_OP,2.366,5,5
2025-08-18,6L_W8_C_SBL2_East,6L,W8,C,SBL2,East,FLCH,W8C_OP,0.8225,4,4
2025-08-19,2L_W23_SBL1_East,2L,W23,,SBL1,East,FLCH,W23_OP,3.18,4,4
2025-08-19,3L_W23_SBL1_South,3L,W23,,SBL1,South,SLGE,W23_OP,2.225,4,4
2025-08-19,3L_W25_HLGE_South,3L,W25,,HLGE,South,SCH,W23_OP,2.48,4,4
2025-08-19,5L_W12_C_CON-DRV_South,5L,W12,C,CON-DRV,South,SCH,W12C_OP,1.175,10,10
2025-08-19,5L_W8_C_CON-DRV_East,5L,W8,C,CON-DRV,East,FLCH,W8C_OP,8.108,5,5
2025-08-19,5L_W8_C_CON-DRV_West,5L,W8,C,CON-DRV,West,FLCH,W8C_OP,4.098,5,5
2025-08-19,6L_E1_B_SBL1_East,6L,E1,B,SBL1,East,FLCH,E1B_OP,2.115,4,4
2025-08-19,6L_W15_A_SBL1_West,6L,W15,A,SBL1,West,SLGE,W15A_OP,0.92,4,4
2025-08-19,6L_W15_A_SBL2_East,6L,W15,A,SBL2,East,SLGE,W15A_OP,0.43,2,2
2025-08-19,6L_W2_A_SBL2_West,6L,W2,A,SBL2,West,FLCH,W2A_OP,3.4167,6,5
2025-08-19,6L_W4_A_SBL2_East,6L,W4,A,SBL2,East,SLGE,W4A_OP,1.345,4,4
2025-08-19,6L_W5_A_SBL2_West,6L,W5,A,SBL2,West,FLCH,W5_OP,1.6125,4,4
2025-08-19,6L_W8_C_SBL2_East,6L,W8,C,SBL2,East,FLCH,W8C_OP,4.335,4,4
2025-08-21,2L_W23_SBL1_East,2L,W23,,SBL1,East,FLCH,W23_OP,4.42,4,4
2025-08-21,3L_W23_HLGE_South,3L,W23,,HLGE,South,SLGE,W23_OP,0.452,5,5
2025-08-21,3L_W25_HLGE_South,3L,W25,,HLGE,South,SLGE,W25_OP,0.2075,8,8
2025-08-21,5L_W12_C_CON-DRV_South,5L,W12,C,CON-DRV,South,SLGE,W12C_OP,,0,8
2025-08-21,5L_W8_C_SBL2_East,5L,W8,C,SBL2,East,FLCH,W8C_OP,3.695,4,4
2025-08-21,5L_W8_C_SBL2_West,5L,W8,C,SBL2,West,FLCH,W8C_OP,4.092,5,5
2025-08-21,6L_E1_B_SBL1_East,6L,E1,B,SBL1,East,FLCH,E1B_OP,,0,4
2025-08-21,6L_W13_C_SBL1_East,6L,W13,C,SBL1,East,FLCH,W13_OP,13.8033,3,3
2025-08-21,6L_W15_A_SBL1_West,6L,W15,A,SBL1,West,SLGE,W15A_OP,0.48,4,4
2025-08-21,6L_W15_A_SBL2_North,6L,W15,A,SBL2,North,FCH,W15A_OP,6.465,2,2
2025-08-21,6L_W2_A_SBL2_West,6L,W2,A,SBL2,West,FLCH,W2A_OP,,0,6
2025-08-21,6L_W4_A_SBL2_East,6L,W4,A,SBL2,East,FLCH,W4A_OP,,0,7
2025-08-21,6L_W5_A_SBL2_West,6L,W5,A,SBL2,West,FLCH,W5_OP,5.175,4,4
2025-08-21,6L_W8_C_SBL2_East,6L,W8,C,SBL2,East,FLCH,W8C_OP,6.3675,4,4
2025-08-21,7L_W4_SBL2_West,7L,W4,,SBL2,West,FCH,P1111,,0,2
